,tweet_norm_case_labelling,score_tweet_labelling,sentiment,sentiment_score,tweet,date,username,tweet_case_norm,tweet_text_prepocessing_stem,tweet_text_prepocessing_nostem,sentiment_predict
110,admin internet saya lampunya merah jadi internet tidak terhubung sudah di restart masih tetep sama,-4,negative,0,@IndiHomeCare @IndiHome Min internet saya lampunya merah jadi internet tidak terhubung. udah di restart masih tetep sama.,2023-06-13 20:31:10+00:00,hairun_hasni,admin internet saya lampunya merah jadi internet tidak terhubung sudah di restart masih tetep sama,admin internet lampu merah internet hubung restart tetep,admin internet lampunya merah internet terhubung restart tetep,0
111,ini sinyal internet ada masalah apa sih sama saya kok sering banget tidak konek setiap kali laporan cuma di suruh restart terus,-17,negative,0,Nih sinyal WiFi @IndiHome ada masalah apasih sama gua kok sering bgt kagak konek setiap kali laporan cuma di suruh restart terus 😒😒,2023-06-13 18:56:22+00:00,fiinart91,ini sinyal internet ada masalah apa sih sama saya kok sering banget tidak konek setiap kali laporan cuma di suruh restart terus,sinyal internet banget konek kali lapor suruh restart,sinyal internet banget konek kali laporan suruh restart,0
112,kalian ada masalah apa sih satu indonesia yang protes hari belakangan ini kok kayaknya masih tidak ada perubahan iya tapi katanya paling kuat,-17,negative,0,"Kalian ada masalah apa sih @IndiHome @TelkomCare ??
Satu Indonesia yg protes 3 hari belakangan ini kok kayanya masih gak ada perubahan ya. Tp katanya paling kuat",2023-06-13 18:24:41+00:00,luthfiazahrra,kalian ada masalah apa sih satu indonesia yang protes hari belakangan ini kok kayaknya masih tidak ada perubahan iya tapi katanya paling kuat,indonesia protes kayak ubah kuat,indonesia protes kayaknya perubahan kuat,0
113,kalau tidak niat jadi provider lebih baik dkenapang pecel lele saja bang,-7,negative,0,@IndiHome @IndiHomeCare Kalo gak niat jadi provider mending dagang pecel lele aja bang. https://t.co/SmEc4SZNKk,2023-06-13 18:22:07+00:00,chriszafm,kalau tidak niat jadi provider lebih baik dkenapang pecel lele saja bang,niat provider dkenapang pecel lele bang,niat provider dkenapang pecel lele bang,0
114,layanannya bkenapaimana si orang complain masalah jaringan bukannya digubris capek masalah terus bayar mah gaperna terlambat,-11,negative,0,"layanannya gimana si, orang complain masalah jaringan bukannya digubris, cape eror trus, bayar mah gaperna telat @IndiHome",2023-06-13 17:52:22+00:00,ardhy071005,layanannya bkenapaimana si orang complain masalah jaringan bukannya digubris capek masalah terus bayar mah gaperna terlambat,layan orang complain jaring gubris capek masalah bayar mah gaperna lambat,layanannya orang complain jaringan digubris capek masalah bayar mah gaperna terlambat,0
115,indihome lagi ada masalah apa sama netflix perasaan pakai lihat yang lain lancar dipake buat netflix lambat melulu kualitas videonya burem,-13,negative,0,"Indihome lagi ada masalah apa sama netflix ? Perasaan pake liat yg lain lancar, dipake buat netflix buffering mulu, kualitas videonya burem @IndiHome @NetflixID",2023-06-13 17:49:23+00:00,AnzeRadha,indihome lagi ada masalah apa sama netflix perasaan pakai lihat yang lain lancar dipake buat netflix lambat melulu kualitas videonya burem,indihome netflix asa pakai lihat lancar dipake netflix lambat melulu kualitas video burem,indihome netflix perasaan pakai lihat lancar dipake netflix lambat melulu kualitas videonya burem,0
116,lambat oi,-5,negative,0,@IndiHome lag oi,2023-06-13 17:26:35+00:00,AisyahP199,lambat oi,lambat,lambat,0
117,woy main yang lain stabil giliran valorant naek melulu pingnya kenapa si,-6,negative,0,"woy! maen yg lain stabil, giliran valorant naek mulu pingnya. kenapa si @IndiHomeCare @IndiHome",2023-06-13 16:13:53+00:00,NugrahaSetyaP,woy main yang lain stabil giliran valorant naek melulu pingnya kenapa si,main stabil gilir valorant naek melulu pingnya,main stabil giliran valorant naek melulu pingnya,0
118,admin ini bkenapaimana iya saya sudah membayar masa iya hari internet saya mati padahal sudah dibayar kuliah kerja semua tidak bisa mohon kejelasan dan tanggapan atas masalah tsb seceparnya iya admin banyak yang dirugikan ,-18,negative,0,"Admin, ini bagaimana ya? Saya sudah membayar, masa iya 1 hari internet saya mati padahal sudah dibayar... kuliah kerja semua tidak bisa. Mohon kejelasan dan tanggapan atas masalah tsb seceparnya ya min.. banyak yang dirugikan. Terima kasih🙏🏼 @IndiHome @IndiHomeCare",2023-06-13 16:11:54+00:00,rezakelana086,admin ini bkenapaimana iya saya sudah membayar masa iya hari internet saya mati padahal sudah dibayar kuliah kerja semua tidak bisa mohon kejelasan dan tanggapan atas masalah tsb seceparnya iya admin banyak yang dirugikan ,admin bayar internet mati bayar kuliah kerja mohon jelas tanggap tsb seceparnya admin rugi ,admin membayar internet mati dibayar kuliah kerja mohon kejelasan tanggapan tsb seceparnya admin dirugikan ,0
119,admin kenapa jelek banget sih,-4,negative,0,@indihome min kenapa jelek banget sih...,2023-06-13 15:45:53+00:00,dearlymiko,admin kenapa jelek banget sih,admin jelek banget,admin jelek banget,0
120,tolong direvisi untuk tagihan bulan ini iya tdak sesuai dengan kecepatan yang didapat langganan mbps tapi yang didapat tdak lebih dari mbps bahkan dibawahnya sering sekali sya enggan membayar apabila tdak ada kompensasi,-5,negative,0,"@IndiHomeCare @IndiHome tolong direvisi untuk tagihan bulan ini ya, tdak sesuai dg kecepatan yg didapat, langganan 40 mbps, tpi yg didapat tdak lebih dari 30mbps, bahkan dibawahnya sering sekali. sya enggan membayar apabila tdak ada kompensasi.",2023-06-13 15:41:25+00:00,RickyCho8,tolong direvisi untuk tagihan bulan ini iya tdak sesuai dengan kecepatan yang didapat langganan mbps tapi yang didapat tdak lebih dari mbps bahkan dibawahnya sering sekali sya enggan membayar apabila tdak ada kompensasi,tolong revisi tagih tdak sesuai cepat langgan mbps tdak mbps bawah sya enggan bayar tdak kompensasi,tolong direvisi tagihan tdak sesuai kecepatan langganan mbps tdak mbps dibawahnya sya enggan membayar tdak kompensasi,1
121,halo ini kenapa iya gangguan sudah di restart ratusan kali jadi gaperlu nyuruh restart lagi,-5,negative,0,"Halo @indihome @IndiHomeCare ini kenapa ya? Gangguan? Udah di restart ratusan kali, jadi gaperlu nyuruh restart lagi. https://t.co/oYV28pNdSe",2023-06-13 15:16:23+00:00,patuuuy,halo ini kenapa iya gangguan sudah di restart ratusan kali jadi gaperlu nyuruh restart lagi,halo ganggu restart ratus kali gaperlu nyuruh restart,halo gangguan restart ratusan kali gaperlu nyuruh restart,0
122,saya kok gkenapal terus bayar tagihan via m banking iya,-9,negative,0,@IndiHomeCare @IndiHome @indihome saya kok gagal terus bayar tagihan via m banking ya,2023-06-13 15:05:14+00:00,dimaswirawan,saya kok gkenapal terus bayar tagihan via m banking iya,gkenapal bayar tagih via m banking,gkenapal bayar tagihan via m banking,0
123,admin tolonggg jaringan saya lambat banget dari kemarin,-8,negative,0,"@IndiHomeCare @IndiHome Min tolonggg, jaringan gue lemot bgt dr kemarin",2023-06-13 14:09:16+00:00,bhaadyy,admin tolonggg jaringan saya lambat banget dari kemarin,admin tolonggg jaring lambat banget kemarin,admin tolonggg jaringan lambat banget kemarin,0
124,woy indikator kamu masih merah udah jam cuk,1,positive,1,@IndiHomeCare @IndiHome Woy indikator lu masih merah udh 5 jam cuk 🤬🤬,2023-06-13 14:07:58+00:00,rifkiandono,woy indikator kamu masih merah udah jam cuk,indikator merah udah jam cuk,indikator merah udah jam cuk,1
125,admin indihome rumah saya tidak ada koneksi internet,-6,negative,0,@IndiHomeCare @IndiHome Min. Indihome rumah saya ga ada koneksi internet😭😭😩😩,2023-06-13 14:02:05+00:00,mayartistya,admin indihome rumah saya tidak ada koneksi internet,admin indihome rumah koneksi internet,admin indihome rumah koneksi internet,0
126,saya sudah ganti device sama saja masalahnya halo admin jaringannya saya terkendala setiap hari setiap jam bkenapaimana tuh solusinya device yang terhubung yang aktif paling device yang pakai dalam satu waktu padahal awal bulan setelah pembayaran juga internet srg bermasalah,-13,negative,0,@IndiHomeCare @IndiHome Saya sudah ganti device sama aja masalahnya. Halo min jaringannya saya terkendala setiap hari setiap jam. Bagaimana tuh solusinya?? Device yang terhubung 5 yg aktif paling 3 device yg pakai dalam satu waktu pdhl. Awal bulan setelah pembayaran jg internet srg bermasalah,2023-06-13 13:57:51+00:00,Ordinaryhuuman,saya sudah ganti device sama saja masalahnya halo admin jaringannya saya terkendala setiap hari setiap jam bkenapaimana tuh solusinya device yang terhubung yang aktif paling device yang pakai dalam satu waktu padahal awal bulan setelah pembayaran juga internet srg bermasalah,ganti device halo admin jaring kendala jam solusi device hubung aktif device pakai bayar internet srg masalah,ganti device halo admin jaringannya terkendala jam solusinya device terhubung aktif device pakai pembayaran internet srg bermasalah,0
127,admin indihome saya tidak terkoneksi internet,-5,negative,0,@IndiHomeCare @IndiHome Min indihome saya Tidak terkoneksi internet,2023-06-13 13:56:48+00:00,ahsanwaro,admin indihome saya tidak terkoneksi internet,admin indihome koneksi internet,admin indihome terkoneksi internet,0
128,gratis,4,positive,1,@SMGindihome @IndiHome @IndiHomeCare Gratis 👀,2023-06-13 13:52:27+00:00,Maura_arica,gratis,gratis,gratis,1
129,mulai browsing cari provider lain selain sudah mahal ada masalah penanganan lama internet lambat pula,-15,negative,0,"Mulai browsing cari provider lain selain @IndiHome , udah mahal, ada masalah penanganan lama, internet lelet pula 😑😑😑",2023-06-13 13:37:38+00:00,deardeeralia,mulai browsing cari provider lain selain sudah mahal ada masalah penanganan lama internet lambat pula,browsing cari provider mahal tangan internet lambat,browsing cari provider mahal penanganan internet lambat,0
130,malam indihome bagian care internet di rumah sudah beberapa minggu intermittent dan lambat males sih mau komplain tapi akhirnya sudah kesel kesampean juga untuk nulis komplain sok kalau begitu di purwokerto sudah banyak provider internet yang quota dan speednya lebih kompetitif,-12,negative,0,"@IndiHomeCare @IndiHome Malam Indihome bagian Care, Inet di rumah sdh bbrp minggu intermittent dan lambreta, males sih mau komplain, tapi akhirnya sudah kesel kesampean juga untuk nulis komplain. Sok atuh di purwokerto sdh banyak provider inet yg quota dan speednya lebih kompetitif.",2023-06-13 13:15:19+00:00,anetagama,malam indihome bagian care internet di rumah sudah beberapa minggu intermittent dan lambat males sih mau komplain tapi akhirnya sudah kesel kesampean juga untuk nulis komplain sok kalau begitu di purwokerto sudah banyak provider internet yang quota dan speednya lebih kompetitif,malam indihome care internet rumah minggu intermittent lambat males komplain kesel sampean nulis komplain sok purwokerto provider internet quota speednya kompetitif,malam indihome care internet rumah minggu intermittent lambat males komplain kesel kesampean nulis komplain sok purwokerto provider internet quota speednya kompetitif,0
131,pelayanan terburuk komplen telepon ke telepon center keluhan sudah x telepon hampir minggu tidak ada tanggapan sama sekali,3,positive,1,"PELAYANAN TERBURUK!! komplen @IndiHome tlp ke call center keluhan sudah 4x telepon, hampir 2 minggu gak ada tanggapan sama sekali! #PelayananBuruk #KecewaIndihome",2023-06-13 13:11:49+00:00,Tessa_Tessera,pelayanan terburuk komplen telepon ke telepon center keluhan sudah x telepon hampir minggu tidak ada tanggapan sama sekali,layan buruk komplen telepon telepon center keluh x telepon minggu tanggap,pelayanan terburuk komplen telepon telepon center keluhan x telepon minggu tanggapan,1
132,halo kak saya mau mati sambungan tv berbayar bisa tidak,-7,negative,0,"@IndiHomeCare @IndiHome halo kak, saya mau putus sambungan tv berbayar, bisa ga?",2023-06-13 12:51:29+00:00,kirans_26,halo kak saya mau mati sambungan tv berbayar bisa tidak,halo mati sambung tv bayar,halo mati sambungan tv berbayar,0
133,apakah masih bisa untuk mengaktifkan kembali jaringan indihome yang terisolir,-3,negative,0,@IndiHomeCare @IndiHome Apakah masih bisa Untuk mengaktifkan kembali jaringan IndiHome yg terisolir ?,2023-06-13 12:39:01+00:00,Nasakti,apakah masih bisa untuk mengaktifkan kembali jaringan indihome yang terisolir,aktif jaring indihome isolir,mengaktifkan jaringan indihome terisolir,1
134,halo tolong doang di tindaklanjuti orderan sayakan jaringan indihome sudah sampai di tempat kunah karena katanya penuh jaringan di siniharus nunggu pemasangan jaringan baru tolong dong di percepat pemasangannya agar cepat terealisasikan,4,positive,1,"Halo @IndiHomeCare @IndiHome tolong doang di tindaklanjuti orderan saya,kan jaringan Indihome sudah sampai di tempat ku,nah karena katanya penuh jaringan di sini,harus nunggu pemasangan jaringan baru, tolong dong di percepat pemasangannya......  Agar cepat terealisasikan... https://t.co/uXgewHAWz7",2023-06-13 12:29:39+00:00,Excelpeter17_,halo tolong doang di tindaklanjuti orderan sayakan jaringan indihome sudah sampai di tempat kunah karena katanya penuh jaringan di siniharus nunggu pemasangan jaringan baru tolong dong di percepat pemasangannya agar cepat terealisasikan,halo tolong doang tindaklanjuti order saya jaring indihome kunah penuh jaring siniharus nunggu pasang jaring tolong cepat pasang cepat realisasi,halo tolong doang tindaklanjuti orderan sayakan jaringan indihome kunah penuh jaringan siniharus nunggu pemasangan jaringan tolong percepat pemasangannya cepat terealisasikan,1
135,semoga informasi diatas membantu dalam menangani masalah anda kak thk santos,-3,negative,0,@slashiit @IndiHome @IndiHomeCare Semoga informasi diatas membantu dalam menangani masalah anda kak. Thk ^santos,2023-06-13 12:00:03+00:00,alle_santo,semoga informasi diatas membantu dalam menangani masalah anda kak thk santos,moga informasi atas bantu tangan thk santos,semoga informasi diatas membantu menangani thk santos,1
136,admin indihome saya gangguan dm telpon wa indihomecare tidak ada yang respon mohon bantuannya,-10,negative,0,"@IndiHomeCare @IndiHome Min, indihome saya gangguan. DM, telpon 147, WA indihomecare,, gak ada yang respon. Mohon bantuannya",2023-06-13 11:57:59+00:00,senden_tembok,admin indihome saya gangguan dm telpon wa indihomecare tidak ada yang respon mohon bantuannya,admin indihome ganggu dm telpon wa indihomecare respon mohon bantu,admin indihome gangguan dm telpon wa indihomecare respon mohon bantuannya,1
137,siap laksanakan,1,positive,1,@alle_santo @IndiHome @IndiHomeCare Siap laksanakan,2023-06-13 11:57:39+00:00,slashiit,siap laksanakan,laksana,laksanakan,0
138,kak stabil informasikan beberapa faktor yang mempengaruhi jaringan menjadi kurang stabil matikan device kemudian hidupkan kembali banting saja kak kalau sudah tidak sabar,-9,negative,0,"@slashiit @IndiHome @IndiHomeCare Kak, Stabil informasikan beberapa faktor yang mempengaruhi jaringan menjadi kurang stabil.
1. Matikan device kemudian hidupkan kembali
2. Banting aja kak kalau udah gak sabar",2023-06-13 11:42:39+00:00,alle_santo,kak stabil informasikan beberapa faktor yang mempengaruhi jaringan menjadi kurang stabil matikan device kemudian hidupkan kembali banting saja kak kalau sudah tidak sabar,stabil informasi faktor pengaruh jaring stabil mati device hidup banting sabar,stabil informasikan faktor mempengaruhi jaringan stabil matikan device hidupkan banting sabar,0
139,telepon indihome lancar terus,1,positive,1,telepon indihome lancar terus,2023-06-13 11:37:34+00:00,10_mifta,telepon indihome lancar ,telepon indihome lancar terus,komplen telepon rumah mati hubungi kemana,1
140,internet dan telepon mati sepanjang hari ini lalu pakai tapi lambat tinggal ternyata lambat juga sebenarnya ini ada apa sih,-8,negative,0,"Internet dan telepon @IndiHome mati sepanjang hari ini, lalu pakai @triindonesia tapi lemot, tinggal @XLAxiata_Tbk ternyata lemot juga, sebenarnya ini ada apa sih? 🤔 #4G #Internet #HariIni #Mati #Lemot #JakartaAjaSepertiIni #BagaimanaDiKotaKecilLain",2023-06-13 11:24:19+00:00,MierEny,internet dan telepon mati sepanjang hari ini lalu pakai tapi lambat tinggal ternyata lambat juga sebenarnya ini ada apa sih,sial,internet telepon mati pakai lambat tinggal lambat,0
141,koneksi kenapa mati sambung,-6,negative,0,@indihome koneksi agak putus nyambung,2023-06-13 11:17:16+00:00,Uyacarsom,koneksi kenapa mati sambung,koneksi mati sambung,koneksi mati sambung,0
142,waktu ke telekomunikasi mau pasang telpon saja csnya bilang sekarang yang kami jual hanya layanan internet jadi pasang nanti dapat saluran telepon nah sekarang jualan kalian satunya kualitasnya kacau gini terus apa yang kalian jual kabel,-4,negative,0,"Waktu ke telkom mau pasang telpon aja, CSnya bilang ""sekarang yang kami jual hanya layanan internet, jadi pasang @IndiHome nanti dapat saluran telepon"".

Nah sekarang jualan kalian satu2nya kualitasnya kacrut gini, trus apaan yang kalian jual? Kabel?",2023-06-13 11:16:58+00:00,RonaAbangng,waktu ke telekomunikasi mau pasang telpon saja csnya bilang sekarang yang kami jual hanya layanan internet jadi pasang nanti dapat saluran telepon nah sekarang jualan kalian satunya kualitasnya kacau gini terus apa yang kalian jual kabel,telekomunikasi pasang telpon csnya bilang jual layan internet pasang salur telepon jual satu kualitas kacau gin jual kabel,telekomunikasi pasang telpon csnya bilang jual layanan internet pasang saluran telepon jualan satunya kualitasnya kacau gini jual kabel,0
143,admin tolong ini kenapa iya jaringannya sejak kemarin lambat sekarang bahkan connect tapi internet tetep pakai mobile data maunya,-8,negative,0,"Min @IndiHomeCare @IndiHome @indihomejikat tolong ini kenapa ya jaringannya sejak kemarin lemot, skrg malah connect tp internet tetep pake mobile data maunya",2023-06-13 11:05:13+00:00,faridafauzia,admin tolong ini kenapa iya jaringannya sejak kemarin lambat sekarang bahkan connect tapi internet tetep pakai mobile data maunya,admin tolong jaring kemarin lambat connect internet tetep pakai mobile data mau,admin tolong jaringannya kemarin lambat connect internet tetep pakai mobile data maunya,0
144,indihome sangat baik jaringan internetnya tidak pernah gangguan terimakasih,2,positive,1,"Indihome sangat baik, jaringan internetnya tidak pernah gangguan terimakasih @IndiHome @IndiHomeCare",2023-06-13 10:24:42+00:00,SkuyyLivinngg,indihome sangat baik jaringan internetnya tidak pernah gangguan terimakasih,indihome jaring internetnya ganggu terimakasih,indihome jaringan internetnya gangguan terimakasih,1
145,kamu kenapa sih lambat banget sudah dibayar mahal pula hari emosi gara internet lambat,-9,negative,0,"Lu @IndiHome @IndiHomeCare kenapa sih lemot banget? Udah dibayar mahal pula, hari2 emosi gara2 internet lemot",2023-06-13 09:46:24+00:00,slashiit,kamu kenapa sih lambat banget sudah dibayar mahal pula hari emosi gara internet lambat,lambat banget bayar mahal emosi gara internet lambat,lambat banget dibayar mahal emosi gara internet lambat,0
146,bang internet lambat bang,-5,negative,0,bang wifi ngelag bang @IndiHome,2023-06-13 09:39:38+00:00,fossilcicak,bang internet lambat bang,bang internet lambat bang,bang internet lambat bang,0
147,tolong cek dm dong admin internetnya tidak bisa ini,-8,negative,0,@IndiHomeCare @IndiHome Tolong cek DM dong min. Internetnya gak bisa nih.,2023-06-13 09:30:01+00:00,ImanSyaaah,tolong cek dm dong admin internetnya tidak bisa ini,tolong cek dm admin internetnya,tolong cek dm admin internetnya,0
148,untuk ganti nama kepemilikan bagaimana prosedurnya terima kasih,3,positive,1,"@IndiHome untuk ganti nama kepemilikan, bagaimana prosedurnya? Tks",2023-06-13 09:22:46+00:00,irsyadnadaoke,untuk ganti nama kepemilikan bagaimana prosedurnya terima kasih,ganti nama milik prosedur terima kasih,ganti nama kepemilikan prosedurnya terima kasih,1
149,pengalanan x berhenti dari indihome cukup datangin mejane cs njuk bayar otomatis mati,-8,negative,0,"@MDMCIndonesia @IndiHome Pengalanan 2x berhenti Dari indihome cukup datangin mejane cs njuk bayar, otomatis off 😁",2023-06-13 09:18:21+00:00,alfatih_ghazy,pengalanan x berhenti dari indihome cukup datangin mejane cs njuk bayar otomatis mati,pengalanan x henti indihome datangin mejane cs njuk bayar otomatis mati,pengalanan x berhenti indihome datangin mejane cs njuk bayar otomatis mati,1
150,syarat penggantian modem apa mesti harus rusak dulu atau berdasarkan masa pakai,-16,negative,0,@IndiHomeCare @IndiHome Syarat penggantian modem apa mesti harus rusak dulu? Atau berdasarkan masa pakai?,2023-06-13 09:10:53+00:00,three_ar_e,syarat penggantian modem apa mesti harus rusak dulu atau berdasarkan masa pakai,syarat ganti modem mesti rusak dasar pakai,syarat penggantian modem mesti rusak berdasarkan pakai,0
151,kualitas layanan telepon rumah indihome buruk,-5,negative,0,Kualitas layanan telepon rumah Indihome buruk @Indihome,2023-06-13 09:09:47+00:00,diposumarp,kualitas layanan telepon rumah indihome buruk,kualitas layan telepon rumah indihome buruk,kualitas layanan telepon rumah indihome buruk,0
152,selamat sore   internet saya jaringan nya sudah tidak stabil selama hari saya minta petugas untuk datang mengecek internetjaringan di rumah saya,-8,negative,0,"@IndiHomeCare @IndiHome Selamat sore ibu/bpk 
Wifi saya jaringan nya sdh tidak stabil selama 4 hari 

Saya minta petugas untuk dtg mengecek wifi/jaringan di rumah saya 🙏🏻🙏🏻",2023-06-13 08:44:03+00:00,NaraAyi,selamat sore ibu  internet saya jaringan nya sudah tidak stabil selama hari saya minta petugas untuk datang mengecek internetjaringan di rumah saya,selamat sore ibu  internet jaring stabil tugas ecek internetjaringan rumah,selamat sore ibu  internet jaringan stabil petugas mengecek internetjaringan rumah,0
153,selamat sore ibu  internet saya jaringan nya tidak stabil sudah hari saya minta petugas datang untuk mengecek jaringan di rumah,-3,negative,0,"@IndiHomeCare @IndiHome Selamat sore ibu/bpk 
Wifi saya, jaringan nya tidak stabil sdh 4 hari 

Saya minta petugas datang untuk mengecek jaringan di rumah🙏🏻",2023-06-13 08:40:54+00:00,NaraAyi,selamat sore ibu  internet saya jaringan nya tidak stabil sudah hari saya minta petugas datang untuk mengecek jaringan di rumah,selamat sore ibu  internet jaring stabil tugas ecek jaring rumah,selamat sore ibu  internet jaringan stabil petugas mengecek jaringan rumah,0
154,Kecewa banget dengan layanan indihome,-8,negative,0,Kecewa banget dengan layanan indihome,2023-06-13 08:23:47+00:00,electri06824191,kecewa banget dengan layanan indihome,kecewa layan indihome,kecewa layanan indihome,0
155,bayar mahal tapi kualitas internet hancur,-7,negative,0,Bayar mahal @IndiHome tapi kualitas internet hancur. 👎👎,2023-06-13 08:09:37+00:00,zahlinAM,bayar mahal tapi kualitas internet hancur,bayar mahal kualitas internet hancur,bayar mahal kualitas internet hancur,0
156,tolong iya makin hari jangan makin jelek saja jaringannya gila banget,-7,negative,0,Tolong ya @IndiHomeCare @IndiHome makin hari jgn makin ccat aja jaringannya gila bgttttttttt,2023-06-13 07:35:52+00:00,chikenspicyya,tolong iya makin hari jangan makin jelek saja jaringannya gila banget,tolong jelek jaring gila banget,tolong jelek jaringannya gila banget,0
157,haloo boleh tolong cek email dong admin sudah kirim email tapi belum ada respon,8,positive,1,"haloo @IndiHome boleh tolong cek email dong min, udah kirim email tapi belum ada respon",2023-06-13 06:38:21+00:00,imilkyberry,haloo boleh tolong cek email dong admin sudah kirim email tapi belum ada respon,haloo tolong cek email admin kirim email respon,haloo tolong cek email admin kirim email respon,0
158,pengalaman admin setop berlangganan indyhom cukup membuat senyum² sendiri,-3,negative,0,"@MDMCIndonesia @IndiHome Pengalaman mimin, setop berlangganan indyhom cukup membuat senyum² sendiri",2023-06-13 05:53:43+00:00,BPBD_Pringsewu,pengalaman admin setop berlangganan indyhom cukup membuat senyum² sendiri,alam admin setop langgan indyhom senyum,pengalaman admin setop berlangganan indyhom senyum²,1
159,halo kami perlu dibantu untuk prosedur pemberhentian langganan internet sudah menghubungi cs namun tidak atau belum ditindaklanjuti oleh petugas terkait mohon dibantu terima kasih,1,positive,1,"hallo @IndiHome kami perlu dibantu untuk prosedur pemberhentian langganan internet, sudah menghubungi CS 147 namun tidak atau belum ditindaklanjuti oleh petugas terkait. Mohon dibantu thx",2023-06-13 05:43:19+00:00,MDMCIndonesia,halo kami perlu dibantu untuk prosedur pemberhentian langganan internet sudah menghubungi cs namun tidak atau belum ditindaklanjuti oleh petugas terkait mohon dibantu terima kasih,halo bantu prosedur henti langgan internet hubung cs ditindaklanjuti tugas kait mohon bantu terima kasih,halo dibantu prosedur pemberhentian langganan internet menghubungi cs ditindaklanjuti petugas terkait mohon dibantu terima kasih,1
160,halo ini pengumuman lomba kok belum ada iya di announcementnya tanggal juni loh dan ini sudah tanggal juni awokwokwok di igpun komennya di hide kenapose,-8,negative,0,halo @IndiHome ini pengumuman lomba kok belum ada ya? di announcement-nya tanggal 2 juni loh dan ini sudah tanggal 13 juni awokwokwok di IGpun komennya di hide kenapose?,2023-06-13 03:41:19+00:00,septsepptt,halo ini pengumuman lomba kok belum ada iya di announcementnya tanggal juni loh dan ini sudah tanggal juni awokwokwok di igpun komennya di hide kenapose,halo umum lomba announcementnya tanggal juni loh tanggal juni awokwokwok igpun komennya hide kenapose,halo pengumuman lomba announcementnya tanggal juni loh tanggal juni awokwokwok igpun komennya hide kenapose,0
161,mati melulu bengek banget mau diputus belum tahun layanan warung tegal lbh bagus,5,positive,1,"@IndiHome putus2 mulu, bengek banget, mau diputus blm 2thn. Layanan warteg lbh bagus",2023-06-13 00:00:11+00:00,AdiDaulay,mati melulu bengek banget mau diputus belum tahun layanan warung tegal lbh bagus,mati melulu bengek banget putus layan warung tegal lbh bagus,mati melulu bengek banget diputus layanan warung tegal lbh bagus,1
162,monmaap kenapa ini malam tiba internetnya mati iya internet saya yaallah lagi pusing ngerjain skripsi tetiba internet tidak ada jaringan,-19,negative,0,"@IndiHome monmaap kenapa ni malem2 tiba2 internetnya mati ya wifi saya? Yaallah, lagi mumet ngerjain skripsi, tetiba wifi gak ada jaringan",2023-06-12 18:31:21+00:00,zhouengli,monmaap kenapa ini malam tiba internetnya mati iya internet saya yaallah lagi pusing ngerjain skripsi tetiba internet tidak ada jaringan,monmaap malam internetnya mati internet yaallah pusing ngerjain skripsi tetiba internet jaring,monmaap malam internetnya mati internet yaallah pusing ngerjain skripsi tetiba internet jaringan,1
163,ada promo apa iya,1,positive,1,@IndiHome ada promo apa ya?,2023-06-12 18:08:10+00:00,NEstabilizo,ada promo apa iya,promo,promo,1
164,kenapa ini tiba lambat,-5,negative,0,@IndiHome kenapa ini tiba2 lelet,2023-06-12 18:05:19+00:00,payung_jamur,kenapa ini tiba lambat,lambat,lambat,0
165,asisten digital dana siap bantu keluhan transaksi kamu buka aplikasi dana pilih historyriwayat pilih transaksi yang mau dilaporin dan pilih chat,5,positive,1,"@SPIANQQ @CryptosHeadline @binance @MetaMask @IndiHome Asisten Digital DANA siap bantu keluhan transaksi kamu: Buka app DANA, pilih History/Riwayat,  pilih transaksi yg mau dilaporin dan pilih CHAT.",2023-06-12 16:40:20+00:00,danawallet,asisten digital dana siap bantu keluhan transaksi kamu buka aplikasi dana pilih historyriwayat pilih transaksi yang mau dilaporin dan pilih chat,asisten digital dana bantu keluh transaksi buka aplikasi dana pilih historyriwayat pilih transaksi dilaporin pilih chat,asisten digital dana bantu keluhan transaksi buka aplikasi dana pilih historyriwayat pilih transaksi dilaporin pilih chat,1
166,halo internet di rumah orang tua saya dalam seminggunya kali mati apkh ini wajar trjd apkh tidak ada tindakan yang bisa meminimalisir trjdnya mati jringannya sampai isi kontak saya tidak tknisi indhome smua smpai tknisinya bosen dn tidak mau mmbalas wa saya lagi,-35,negative,0,"@ardamafazaa hallo @IndiHome @IndiHomeCare 
wifi di rumah ortu saya dlm seminggunya 2 kali putus, apkh ini wajar trjd? apkh tdk ada tindakan yg bisa meminimalisir trjdnya putus jringannya? sampai isi kontak saya no tknisi indhome smua, smpai tknisinya bosen dn tdk mau mmbalas wa saya lg",2023-06-12 15:59:25+00:00,pipippupap,halo internet di rumah orang tua saya dalam seminggunya kali mati apkh ini wajar trjd apkh tidak ada tindakan yang bisa meminimalisir trjdnya mati jringannya sampai isi kontak saya tidak tknisi indhome smua smpai tknisinya bosen dn tidak mau mmbalas wa saya lagi,halo internet rumah orang tua minggu kali mati apkh wajar trjd apkh tindak meminimalisir trjdnya mati jringannya isi kontak tknisi indhome smua smpai tknisinya bosen dn mmbalas wa,halo internet rumah orang tua seminggunya kali mati apkh wajar trjd apkh tindakan meminimalisir trjdnya mati jringannya isi kontak tknisi indhome smua smpai tknisinya bosen dn mmbalas wa,0
